home,Zuhause
plans,Pläne
about,Über
contact,Kontakt
what-we-offer,Was wir anbieten
design,Design
branding,Branding
consultation,Beratung
promises,Versprechen
footer,Fusszeile
top,Nach oben
design-description,Moderne und realistische Designs
branding-description,Eine effektive Markenstrategie verschafft Ihnen einen entscheidenden Vorteil in zunehmend wettbewerbsintensiven Märkten
consultation-description,Kostenlose Beratung und 24-Stunden-Support auf Abruf
promises-description,Hochwertige Produkt für Kunden,singular
promises-description,Hochwertige Produkte für Kunden,plural
created-by,Erstellt von %(author)s
total-view,%(view)d Gesamtansichten
